"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","T cell activation","100/586","464/18670",2.41125937568297e-55,9.88375218092449e-52,8.08152616018376e-52,"TNFRSF18/PIK3CD/PLA2G2D/RUNX3/LCK/PTPN22/CD2/TNFAIP8L2/CD1C/SLAMF6/LY9/FCGR2B/PTPRC/LAX1/CR1/CD8A/CD8B/ZAP70/CD28/CTLA4/ICOS/PDCD1/EOMES/CCR9/CCR2/BTLA/TIGIT/CD86/RHOH/IL7R/CAMK4/TCF7/ITK/DOCK2/IRF4/RIPOR2/BTN3A1/HLA-DOA/HLA-DPB1/TREML2/THEMIS/MYB/CCR6/CARD11/CCL19/SIT1/TNFSF8/FUT7/APBB1IP/CD6/CD5/CCDC88B/IL18/JAML/CD3E/CD3D/CD3G/CD27/LAG3/CLECL1/KLRK1/WNT1/NCKAP1L/TESPA1/IFNG/TNFSF11/LCP1/GPR18/BATF/BCL11B/RASGRP1/NLRC3/SPN/CORO1A/ITGAL/NOD2/FOXN1/CCR7/TBX21/CD300A/CD7/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/SLA2/AIRE/RAC2/GRAP2/TNFRSF13C/WAS/FOXP3/SASH3/CD40LG",100
"GO:0030098","lymphocyte differentiation","78/586","353/18670",7.42706284307954e-44,1.52217652968915e-40,1.24461937328238e-40,"TNFRSF18/PIK3CD/PLA2G2D/RUNX3/LCK/PTPN22/CD2/FCRL3/SLAMF6/LY9/FCGR2B/PTPRC/CR2/CR1/CD8A/ZAP70/ITGA4/CD28/CTLA4/INPP5D/EOMES/CCR9/CCR2/CD86/RHOH/IL7R/CAMK4/TCF7/ITK/DOCK2/IRF4/HLA-DOA/THEMIS/MYB/CCR6/CARD11/IKZF1/TOX/CCL19/TNFSF8/FUT7/MS4A1/IL18/CD3E/CD3D/CD3G/CD27/LAG3/AICDA/WNT1/NCKAP1L/TESPA1/IFNG/FLT3/GPR18/BATF/BCL11B/RASGRP1/CD19/SPN/FOXN1/IKZF3/CCR7/TBX21/CD79B/C17orf99/VAV1/PGLYRP2/JAK3/IL12RB1/CD79A/POU2F2/LILRB4/AIRE/FOXP3/BTK/SASH3/CD40LG",78
"GO:0050863","regulation of T cell activation","68/586","314/18670",1.19487136531072e-37,1.63259257546955e-34,1.33490190426293e-34,"TNFRSF18/PLA2G2D/RUNX3/LCK/PTPN22/CD2/TNFAIP8L2/FCGR2B/PTPRC/LAX1/CR1/ZAP70/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/IL7R/CAMK4/IRF4/RIPOR2/HLA-DOA/HLA-DPB1/MYB/CARD11/CCL19/SIT1/TNFSF8/CD6/CD5/CCDC88B/IL18/CD3E/CD27/LAG3/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/SPN/CORO1A/NOD2/FOXN1/CCR7/TBX21/CD300A/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/RAC2/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",68
"GO:0051249","regulation of lymphocyte activation","82/586","485/18670",6.68124287772146e-37,6.84660363894507e-34,5.59817824280661e-34,"TNFRSF18/PLA2G2D/RUNX3/LCK/PTPN22/CD2/TNFAIP8L2/FCRL3/FCGR2B/PTPRC/LAX1/CR1/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/TIGIT/CD86/IL7R/CAMK4/MZB1/IRF4/RIPOR2/LST1/HLA-DOA/HLA-DPB1/MYB/CARD11/TOX/CCL19/SIT1/TNFSF8/CD6/CD5/CCDC88B/IL18/CD3E/CD27/LAG3/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CD19/SPN/CORO1A/NOD2/TNFRSF13B/FOXN1/IKZF3/CCR7/TBX21/CD300A/EBI3/TMIGD2/CD70/VAV1/RASAL3/PGLYRP2/JAK3/IL12RB1/CD22/LILRB1/LILRB4/SIRPG/SLA2/IGLL5/IGLL1/RAC2/GRAP2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",82
"GO:0030217","T cell differentiation","59/586","240/18670",5.17149580874687e-36,4.23959226401069e-33,3.46653529580001e-33,"TNFRSF18/PIK3CD/PLA2G2D/RUNX3/LCK/PTPN22/CD2/SLAMF6/LY9/PTPRC/CR1/CD8A/ZAP70/CD28/CTLA4/EOMES/CCR9/CCR2/CD86/RHOH/IL7R/CAMK4/TCF7/ITK/DOCK2/IRF4/HLA-DOA/THEMIS/MYB/CCR6/CARD11/CCL19/TNFSF8/FUT7/IL18/CD3E/CD3D/CD3G/CD27/LAG3/WNT1/NCKAP1L/TESPA1/IFNG/GPR18/BATF/BCL11B/RASGRP1/SPN/FOXN1/CCR7/TBX21/VAV1/JAK3/IL12RB1/LILRB4/AIRE/FOXP3/SASH3",59
"GO:0007159","leukocyte cell-cell adhesion","67/586","337/18670",1.17993477299349e-34,8.06092105750053e-32,6.59107424072154e-32,"PLA2G2D/RUNX3/LCK/PTPN22/TNFAIP8L2/FCGR2B/SELL/PTPRC/LAX1/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/IL7R/RIPOR2/TNF/HLA-DPB1/MYB/CARD11/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/LAG3/CLECL1/KLRK1/ITGB7/NCKAP1L/TESPA1/IFNG/SELPLG/TNFSF11/RASGRP1/SPN/CORO1A/ITGAL/NOD2/CCR7/TBX21/SKAP1/CD300A/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/RAC2/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",67
"GO:1903037","regulation of leukocyte cell-cell adhesion","62/586","304/18670",9.01546932030852e-33,5.27920124913495e-30,4.31657959637027e-30,"PLA2G2D/RUNX3/LCK/PTPN22/TNFAIP8L2/FCGR2B/PTPRC/LAX1/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/IL7R/RIPOR2/TNF/HLA-DPB1/MYB/CARD11/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/LAG3/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/SPN/CORO1A/NOD2/CCR7/TBX21/SKAP1/CD300A/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",62
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","51/586","218/18670",4.15260366145431e-30,2.12769030103765e-27,1.73972237606191e-27,"RUNX3/LCK/PTPRC/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/IL7R/TNF/HLA-DPB1/MYB/CARD11/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CORO1A/NOD2/CCR7/SKAP1/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",51
"GO:0022407","regulation of cell-cell adhesion","67/586","403/18670",9.94824332830838e-30,4.53087215585956e-27,3.70470254471741e-27,"PLA2G2D/RUNX3/LCK/PTPN22/TNFAIP8L2/FCGR2B/TNR/PTPRC/LAX1/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/TIGIT/CD86/CXCL13/IL7R/RIPOR2/TNF/HLA-DPB1/MYB/CARD11/CCL19/AKNA/CD6/CD5/CCDC88B/IL18/CD3E/CD27/LAG3/CLECL1/KLRK1/WNT1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/SPN/CORO1A/NOD2/ADAMTS18/CCR7/TBX21/SKAP1/CD300A/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",67
"GO:0050870","positive regulation of T cell activation","47/586","202/18670",1.04876197819043e-27,4.29887534860258e-25,3.51500856690351e-25,"RUNX3/LCK/PTPRC/ZAP70/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/IL7R/HLA-DPB1/MYB/CARD11/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CORO1A/NOD2/CCR7/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",47
"GO:0022409","positive regulation of cell-cell adhesion","52/586","255/18670",1.34121075200089e-27,4.99783897495603e-25,4.08652156399122e-25,"RUNX3/LCK/PTPRC/ZAP70/ITGA4/CD28/CTLA4/ICOS/PDCD1/CCR2/BTLA/CD86/CXCL13/IL7R/TNF/HLA-DPB1/MYB/CARD11/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CORO1A/NOD2/CCR7/SKAP1/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/GRAP2/TNFRSF13C/FOXP3/SASH3/CD40LG",52
"GO:0070661","leukocyte proliferation","55/586","298/18670",7.47355364642282e-27,2.55284136639059e-24,2.08735042194827e-24,"PLA2G2D/PTPN22/FCRL3/FCGR2B/PTPRC/CR2/ZAP70/CD28/CTLA4/INPP5D/IL5RA/CCR2/CD86/IL7R/GAPT/CD180/MZB1/DOCK2/BTN3A1/LST1/HLA-DPB1/TREM2/CARD11/CCL19/TNFSF8/MS4A1/CD6/CCDC88B/IL18/CD3E/CLECL1/NCKAP1L/FLT3/TNFSF11/CD19/SPN/CORO1A/TNFRSF13B/IKZF3/CD300A/EBI3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/CD22/CD79A/LILRB1/RAC2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",55
"GO:0046651","lymphocyte proliferation","52/586","272/18670",3.42884855413591e-26,1.08114232487716e-23,8.84004355981274e-24,"PLA2G2D/PTPN22/FCRL3/FCGR2B/PTPRC/CR2/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/IL7R/GAPT/CD180/MZB1/DOCK2/BTN3A1/LST1/HLA-DPB1/CARD11/CCL19/TNFSF8/MS4A1/CD6/CCDC88B/IL18/CD3E/CLECL1/NCKAP1L/FLT3/CD19/SPN/CORO1A/TNFRSF13B/IKZF3/CD300A/EBI3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/CD22/CD79A/LILRB1/RAC2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",52
"GO:0032943","mononuclear cell proliferation","52/586","274/18670",4.93507985024755e-26,1.44492087901177e-23,1.18145069497656e-23,"PLA2G2D/PTPN22/FCRL3/FCGR2B/PTPRC/CR2/ZAP70/CD28/CTLA4/INPP5D/CCR2/CD86/IL7R/GAPT/CD180/MZB1/DOCK2/BTN3A1/LST1/HLA-DPB1/CARD11/CCL19/TNFSF8/MS4A1/CD6/CCDC88B/IL18/CD3E/CLECL1/NCKAP1L/FLT3/CD19/SPN/CORO1A/TNFRSF13B/IKZF3/CD300A/EBI3/TMIGD2/CD70/RASAL3/JAK3/IL12RB1/CD22/CD79A/LILRB1/RAC2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",52
"GO:0002696","positive regulation of leukocyte activation","60/586","380/18670",1.86389033030506e-25,5.09339097594695e-23,4.16465039416934e-23,"RUNX3/LCK/CD2/FCRL3/PTPRC/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/CD86/TLR6/STAP1/IL7R/HLA-DPB1/TREM2/MYB/CARD11/TOX/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CORO1A/NOD2/CCR7/CRHR1/TBX21/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/IGLL5/IGLL1/GRAP2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",60
"GO:0050867","positive regulation of cell activation","61/586","394/18670",2.12761509053776e-25,5.45068391007142e-23,4.45679371596857e-23,"RUNX3/LCK/CD2/FCRL3/PTPRC/PLEK/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/CD86/TLR6/STAP1/IL7R/HLA-DPB1/TREM2/MYB/CARD11/TOX/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CORO1A/NOD2/CCR7/CRHR1/TBX21/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/ITGB2/IGLL5/IGLL1/GRAP2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",61
"GO:0050851","antigen receptor-mediated signaling pathway","54/586","316/18670",1.09351790515019e-24,2.63666464306506e-22,2.15588917027752e-22,"PIK3CD/LCK/FYB2/PTPN22/FCRL3/FCGR2B/CD247/PTPRC/LAX1/ZAP70/CD28/CTLA4/INPP5D/TRAT1/KLHL6/TXK/STAP1/FYB1/ITK/BTN3A1/BTN1A1/BTNL2/HLA-DQA1/HLA-DQB2/HLA-DPB1/THEMIS/CARD11/LAT2/BLK/PAX5/MS4A1/CD3E/CD3D/CD3G/NCKAP1L/TESPA1/PRKCB/CD19/CCR7/SKAP1/CD79B/CD300A/CD22/CD79A/KCNN4/LILRB4/SLA2/UBASH3A/IGLL5/IGLL1/GRAP2/WAS/FOXP3/BTK",54
"GO:0051251","positive regulation of lymphocyte activation","54/586","334/18670",1.70720293546248e-23,3.88768046247817e-21,3.17879189854534e-21,"RUNX3/LCK/FCRL3/PTPRC/ZAP70/CD28/CTLA4/ICOS/INPP5D/PDCD1/CCR2/BTLA/CD86/IL7R/HLA-DPB1/MYB/CARD11/TOX/CCL19/CD6/CD5/CCDC88B/IL18/CD3E/CD27/CLECL1/KLRK1/NCKAP1L/TESPA1/IFNG/TNFSF11/RASGRP1/CORO1A/NOD2/CCR7/TBX21/EBI3/TMIGD2/CD70/VAV1/RASAL3/JAK3/IL12RB1/LILRB1/LILRB4/SIRPG/IGLL5/IGLL1/GRAP2/TNFRSF13C/FOXP3/BTK/SASH3/CD40LG",54
"GO:0050900","leukocyte migration","65/586","499/18670",9.50638228692129e-23,2.05087689442581e-20,1.67691530202534e-20,"TNFRSF18/PIK3CD/CNR2/LCK/MCOLN2/CD2/CD84/CD48/CD244/XCL2/SELL/FCAMR/ZAP70/CXCR4/ITGA4/INPP5D/CCR2/CCR5/GPR15/STAP1/JCHAIN/CXCL9/CXCL10/CXCL11/CXCL13/SLC7A11/RIPOR2/TNF/GPSM3/TREM2/CCR6/MYO1G/DOK2/CCL19/FUT7/CALCA/JAML/CXCR5/OLR1/KLRK1/PTPRO/ITGB7/NCKAP1L/SELPLG/TNFSF11/GPR18/CYP19A1/SPN/CORO1A/ITGAL/ITGAX/CCL22/CCL17/CCR7/TBX21/CD300A/VAV1/SIRPG/AIRE/ITGB2/VPREB1/IGLL1/VPREB3/RAC2/CXCR3",65
